title,summary,tag
关于中国资本市场吴清说了三个靠谱,中国证监会主席吴清5月7日在国新办举行的新闻发布会上说，我们有靠谱的经济发展，靠谱的宏观政策，靠谱的制度保障，在这样一个不确定的市场大环境下，为我们的经济和市场注入更多的确定性。前行的路上会有风有雨，不管是轻风细雨，还是暴风骤雨，不管是风高浪急，还是惊涛骇浪，我们都有信心、有条件、有能力实现中国股市的稳定健康发展。,hotspot
吴清：鼓励符合条件的境内企业依法依规赴境外上市,5月7日，中国证监会主席吴清在参加国新办新闻发布会时表示，强化多层次资本市场产品和服务，鼓励符合条件的境内企业依法依规赴境外上市，增强全球市场的拓展能力。,hotspot
,中国人民银行行长潘功胜5月7日在国新办发布会上说，支持资本市场两项工具贷款总额度提高至8000亿元。,hotspot
中国人民银行将下调个人住房公积金贷款利率,"中国人民银行行长潘功胜5月7日在国新办举行的新闻发布会上宣布，将下调个人住房公积金贷款利率0.25个百分点。将设立5000亿元服务消费与养老再贷款，加大消费重点领域低成本资金支持；增加3,000亿元的科技创新和技术改造再贷款额度。",hotspot
,COMEX黄金期货涨1.47%，报3452.3美元/盎司，本周累计上涨3.18%。COMEX白银期货涨0.14%，报36.345美元/盎司，本周累涨0.57%。,hotspot
热门中概股多数收跌 纳斯达克中国金龙指数跌2.74%,热门中概股多数收跌，纳斯达克中国金龙指数跌2.74%，本周累跌0.77%。房多多跌超9%，文远知行跌超7%，金山云跌超6%，小鹏汽车跌超5%，阿里巴巴、哔哩哔哩、理想汽车均跌超3%，京东、拼多多、百度均跌超2%。,hotspot
美股三大指数收盘均跌超1% 能源板块逆势大涨,美股低开高走，三大指数均跌超1%。道指跌1.79%，本周累跌1.32%；纳指跌1.3%，本周累跌0.63%；标普500指数跌1.13%，本周累跌0.39%。大型科技股多数下跌，英特尔跌超3%，英伟达跌超2%，苹果、Meta跌逾1%，微软、奈飞、谷歌、亚马逊小幅下跌；特斯拉涨约2%。能源板块逆势大涨，休斯敦能源涨超119%，美国能源涨超55%，Indonesia Energy涨约45%，Mesa Royalty Trust涨约29%。无人机制造商Airo美国IPO首日收涨140%。甲骨文涨超7%，本周累涨近24%，创2001年以来最佳单周表现。,hotspot
CFTC：截至6月10日当周 投机者所持COMEX黄金净多头头寸减少657手合约,"美国商品期货交易委员会（CFTC）数据显示，截至6月10日当周，投机者所持COMEX黄金净多头头寸减少657手合约，至129,851手合约；所持COMEX白银净多头头寸创12周新高，所持COMEX铜净多头头寸创10周新高；所持NYMEX铂金净多头头寸创16周新高，所持NYMEX钯金净多头头寸创七个月新低。",hotspot
在岸人民币兑美元较周四夜盘收盘跌138点,在岸人民币兑美元（CNY）北京时间03:00收报7.1853元，较周四夜盘收盘跌138点。成交量463.25亿美元。,hotspot
国际原油期货结算价大幅收涨超7% WTI原油本周累涨约13%,国际原油期货结算价大幅收涨超7%。WTI 7月原油期货收涨4.94美元，涨幅7.26%，报72.98美元/桶，本周累涨约13%。布伦特8月原油期货收涨4.87美元，涨幅7.02%，报74.23美元/桶，本周累涨11.67%。(来自金融八卦女App),hotspot
"ICE：投机者6月10日当周所持ICE布伦特原油净多头头寸增加29,159手合约","洲际交易所（ICE）数据显示，投机者6月10日当周所持ICE布伦特原油净多头头寸增加29,159手合约，至196,922手合约，创最近十周新高。所持罗布斯塔咖啡净多头头寸增至3,506手合约，其中空头绝对值达到11,474手合约创大约18个月新高。所持白糖净多头头寸降至5,232手合约，创16周新低，其中空头绝对值创约四个月新高。所持伦敦可可净多头头寸达到10,590手合约。",hotspot
期货交易所应当定期或者不定期对程序化交易者报告的信息进行核查,中国证监会公布《期货市场程序化交易管理规定（试行）》，自2025年10月9日起施行。期货公司应当定期或者不定期对程序化交易客户报告的信息进行核查，发现未按规定报告的，应当督促客户改正。经督促仍不改正的，期货公司应当按照期货交易所规定和委托协议约定，拒绝继续接受其开仓委托。期货交易所应当定期或者不定期对程序化交易者报告的信息进行核查，重点核查高频交易者报告的交易策略类型、最高报撤单频率、单日最高报撤单笔数等信息，发现未按规定报告的，按照业务规则采取自律管理措施,hotspot
证监会公布《期货市场程序化交易管理规定（试行）》 10月9日起施行,中国证监会公布《期货市场程序化交易管理规定（试行）》，自2025年10月9日起施行。一是明确制定目的。加强期货市场程序化交易监管，规范程序化交易行为，维护期货交易秩序和市场公平。二是明确适用范围。在中华人民共和国境内期货市场的程序化交易相关活动，适用本规定。三是明确定义。明确程序化交易和高频交易定义、特征，高频交易具体标准由期货交易所制定。四是明确基本原则。从事程序化交易应当遵循公平原则，不得影响期货交易所系统安全和正常交易秩序。五是明确职责分工。包括中国证监会及其派出机构的行政监管职责，期货交易所、中国期货业协会的自律管理职责，中国期货市场监控中心的监测监控职责。六是明确信息共享和监测监控。期货交易所等单位应当加强程序化交易跨交易所跨市场信息共享和监测监控。,hotspot
